config,run,best_fit,solved,gen_found,runtime_s,pop_size,mutation,tournament
tour=2,9,28,1,2,0.005,100,0.1,2
tour=2,10,28,1,4,0.01,100,0.1,2
tour=2,11,28,1,2,0.006,100,0.1,2
tour=2,12,28,1,3,0.008,100,0.1,2
tour=2,13,28,1,0,0.0,100,0.1,2
tour=2,14,28,1,0,0.001,100,0.1,2
tour=2,15,28,1,0,0.001,100,0.1,2
tour=2,16,28,1,1,0.0025,100,0.1,2
tour=2,17,28,1,5,0.013,100,0.1,2
tour=2,18,28,1,4,0.01,100,0.1,2
tour=2,19,28,1,2,0.005,100,0.1,2
tour=2,20,28,1,5,0.012,100,0.1,2
tour=2,21,28,1,2,0.006,100,0.1,2
tour=2,22,28,1,5,0.012,100,0.1,2
tour=2,23,28,1,11,0.027,100,0.1,2
tour=2,24,28,1,10,0.025,100,0.1,2
tour=2,25,28,1,0,0.001,100,0.1,2
tour=2,26,28,1,12,0.029,100,0.1,2
tour=2,27,28,1,1,0.003,100,0.1,2
tour=2,28,28,1,9,0.022,100,0.1,2
tour=2,29,28,1,1,0.003,100,0.1,2
tour=2,30,28,1,5,0.012,100,0.1,2
tour=3,1,28,1,7,0.017,100,0.1,3
tour=3,2,28,1,6,0.0151,100,0.1,3
tour=3,3,28,1,1,0.003,100,0.1,3
tour=3,4,28,1,3,0.008,100,0.1,3
tour=3,5,28,1,0,0.001,100,0.1,3
tour=3,6,28,1,1,0.003,100,0.1,3
tour=3,7,28,1,1,0.003,100,0.1,3
tour=3,8,28,1,17,0.041,100,0.1,3
tour=3,9,28,1,1,0.004,100,0.1,3
tour=3,10,28,1,2,0.0053,100,0.1,3
tour=3,11,28,1,6,0.015,100,0.1,3
tour=3,12,28,1,1,0.002,100,0.1,3
tour=3,13,28,1,0,0.0,100,0.1,3
tour=3,14,28,1,0,0.001,100,0.1,3
tour=3,15,28,1,0,0.001,100,0.1,3
tour=3,16,28,1,27,0.064,100,0.1,3
tour=3,17,28,1,1,0.004,100,0.1,3
tour=3,18,28,1,2,0.006,100,0.1,3
tour=3,19,28,1,2,0.005,100,0.1,3
tour=3,20,28,1,12,0.0275,100,0.1,3
tour=3,21,28,1,1,0.004,100,0.1,3
tour=3,22,28,1,2,0.005,100,0.1,3
tour=3,23,28,1,3,0.008,100,0.1,3
tour=3,24,28,1,3,0.007,100,0.1,3
tour=3,25,28,1,0,0.001,100,0.1,3
tour=3,26,28,1,10,0.025,100,0.1,3
tour=3,27,28,1,2,0.005,100,0.1,3
tour=3,28,28,1,5,0.012,100,0.1,3
tour=3,29,28,1,1,0.003,100,0.1,3
tour=3,30,28,1,5,0.012,100,0.1,3
tour=5,1,28,1,11,0.0265,100,0.1,5
tour=5,2,28,1,7,0.018,100,0.1,5
tour=5,3,28,1,1,0.003,100,0.1,5
tour=5,4,28,1,3,0.008,100,0.1,5
tour=5,5,28,1,0,0.001,100,0.1,5
tour=5,6,28,1,2,0.005,100,0.1,5
tour=5,7,28,1,3,0.008,100,0.1,5
tour=5,8,28,1,3,0.008,100,0.1,5
tour=5,9,28,1,2,0.006,100,0.1,5
tour=5,10,28,1,1,0.003,100,0.1,5
tour=5,11,28,1,80,0.1929,100,0.1,5
tour=5,12,28,1,2,0.006,100,0.1,5
tour=5,13,28,1,0,0.0,100,0.1,5
tour=5,14,28,1,0,0.001,100,0.1,5
tour=5,15,28,1,0,0.001,100,0.1,5
tour=5,16,28,1,3,0.008,100,0.1,5
tour=5,17,28,1,1,0.003,100,0.1,5
tour=5,18,28,1,3,0.008,100,0.1,5
tour=5,19,28,1,3,0.0082,100,0.1,5
tour=5,20,28,1,1,0.003,100,0.1,5
tour=5,21,28,1,1,0.003,100,0.1,5
tour=5,22,28,1,1,0.003,100,0.1,5
tour=5,23,28,1,5,0.013,100,0.1,5
tour=5,24,28,1,4,0.01,100,0.1,5
tour=5,25,28,1,0,0.001,100,0.1,5
tour=5,26,28,1,2,0.006,100,0.1,5
tour=5,27,28,1,1,0.003,100,0.1,5
tour=5,28,28,1,9,0.022,100,0.1,5
tour=5,29,28,1,2,0.006,100,0.1,5
tour=5,30,28,1,194,0.4642,100,0.1,5
